text,primary_intent
"courses needed before cs575",course_info
"what courses required for cs 575",course_info
"cs575 eligibility",course_info
"cs 575 credits",course_info
"how many credits is cs 575",course_info
"credit hours cs575",course_info
"cs 575 credit value",course_info
"credits for met cs 535",course_info
"cs 232 credit hours",course_info
"how many credits for cs575",course_info
"credit count cs 575",course_info
"cs 575 textbook",course_info
"required books for cs 575",course_info
"cs575 reading list",course_info
"what book for cs 575",course_info
"materials needed for cs575",course_info
"cs 575 resources",course_info
"textbooks cs 575",course_info
"cs575 required materials",course_info
"reading for cs 575 course",course_info
"books to buy for cs575",course_info
"cs 575 difficulty",course_info
"is cs 575 hard",course_info
"how difficult is cs575",course_info
"cs 575 workload",course_info
"is cs575 easy",course_info
"difficulty level cs 575",course_info
"how tough is cs 575",course_info
"cs575 challenging?",course_info
"easy or hard cs 575",course_info
"workload for cs575",course_info
"cs 575 grading",course_info
"grading policy cs 575",course_info
"how is cs575 graded",course_info
"grade breakdown cs 575",course_info
"cs575 grading scheme",course_info
"what determines cs 575 grade",course_info
"grading criteria cs575",course_info
"grade distribution cs 575",course_info
"how are grades calculated cs575",course_info
"cs 575 grade components",course_info
"cs 575 office hours",course_info
"office hours for cs575",course_info
"when are cs 575 office hours",course_info
"prof office hours cs 575",course_info
"ta office hours cs575",course_info
"when can i meet prof for cs 575",course_info
"cs575 help hours",course_info
"office hour schedule cs 575",course_info
"times for cs575 office hours",course_info
"where are office hours cs 575",course_info
"cs 575 enrollment",course_info
"is cs 575 full",course_info
"can i enroll in cs575",course_info
"cs 575 seats available",course_info
"is there space in cs575",course_info
"cs 575 class size",course_info
"how many students in cs575",course_info
"enrollment limit cs 575",course_info
"max students cs575",course_info
"cs 575 capacity",course_info
"cs 575 waitlist",course_info
"am i on waitlist for cs575",course_info
"cs 575 wait list status",course_info
"waitlist position cs575",course_info
"can i get off waitlist cs 575",course_info
"cs575 waitlist length",course_info
"how long is cs 575 waitlist",course_info
"chances of getting into cs575",course_info
"waitlist movement cs 575",course_info
"cs 575 registration",course_info
"how to register for cs575",course_info
"register for cs 575",course_info
"sign up for cs575",course_info
"enroll in cs 575",course_info
"add cs575 to schedule",course_info
"register cs 575 online",course_info
"registration process cs575",course_info
"how do i join cs 575",course_info
"steps to register cs575",course_info
"cs 575 format",course_info
"is cs575 online",course_info
"cs 575 in person",course_info
"cs575 remote or in-person",course_info
"online or offline cs 575",course_info
"cs 575 hybrid",course_info
"cs575 delivery mode",course_info
"cs 575 virtual",course_info
"is cs575 on campus",course_info
"format of cs 575 class",course_info
"cs 575 labs",course_info
"does cs575 have labs",course_info
"lab component cs 575",course_info
"cs575 lab sessions",course_info
"when are cs 575 labs",course_info
"lab schedule cs575",course_info
"cs 575 lab location",course_info
"where are cs575 labs held",course_info
"lab requirements cs 575",course_info
"mandatory labs cs575",course_info
"cs 575 reviews",course_info
"student reviews cs575",course_info
"what do students say about cs 575",course_info
"cs575 ratings",course_info
"feedback on cs 575",course_info
"is cs575 recommended",course_info
"should i take cs 575",course_info
"cs 575 worth taking",course_info
"opinions on cs575",course_info
"cs 575 reputation",course_info
"cs 575 final project",course_info
"does cs575 have a project",course_info
"final project cs 575",course_info
"cs575 capstone",course_info
"project requirements cs 575",course_info
"what is the cs575 project about",course_info
"group project cs 575",course_info
"individual project cs575",course_info
"cs 575 project topics",course_info
"project scope cs575",course_info
"cs 575 sections",course_info
"how many sections of cs575",course_info
"cs 575 section options",course_info
"different sections cs575",course_info
"cs 575 section times",course_info
"which section of cs575 should i take",course_info
"cs575 section availability",course_info
"compare cs 575 sections",course_info
"best section for cs575",course_info
"cs 575 section differences",course_info
"cs 575 corequisites",course_info
"coreqs for cs575",course_info
"courses to take with cs 575",course_info
"concurrent courses cs575",course_info
"what to take alongside cs 575",course_info
"cs575 corequisite requirements",course_info
"courses paired with cs 575",course_info
"simultaneous enrollment cs575",course_info
"cs 575 and what else",course_info
"companion courses cs575",course_info
"cs 575 learning outcomes",course_info
"what will i learn cs575",course_info
"learning objectives cs 575",course_info
"skills from cs575",course_info
"outcomes of cs 575 course",course_info
"what skills does cs575 teach",course_info
"cs 575 course goals",course_info
"objectives of cs575",course_info
"what you learn in cs 575",course_info
"cs575 competencies",course_info
"when is cas ma 242",schedule_query
"what classes do i have on monday",schedule_query
"my schedule for today",schedule_query
"show my classes",schedule_query
"what is my schedule tomorrow",schedule_query
"classes on tuesday",schedule_query
"schedule for this week",schedule_query
"when do i have cs 575",schedule_query
"what time is cs 575",schedule_query
"cs575 schedule",schedule_query
"time for met cs 535",schedule_query
"when does cs 232 meet",schedule_query
"cs 575 meeting times",schedule_query
"what days is cs575",schedule_query
"cs 575 class times",schedule_query
"schedule for cs 575",schedule_query
"when is my cs575 class",schedule_query
"what time does cs 575 start",schedule_query
"cs575 start time",schedule_query
"when does cs 575 end",schedule_query
"cs 575 end time",schedule_query
"duration of cs575",schedule_query
"how long is cs 575 class",schedule_query
"cs575 class length",schedule_query
"cs 575 time slot",schedule_query
"what period is cs575",schedule_query
"my classes today",schedule_query
"what do i have today",schedule_query
"today's schedule",schedule_query
"classes for today",schedule_query
"show today's classes",schedule_query
"what classes today",schedule_query
"todays class schedule",schedule_query
"do i have class today",schedule_query
"any classes today?",schedule_query
"class schedule today",schedule_query
"my schedule for wednesday",schedule_query
"what classes on thursday",schedule_query
"friday schedule",schedule_query
"saturday classes",schedule_query
"sunday class schedule",schedule_query
"weekday schedule",schedule_query
"weekend classes",schedule_query
"classes this week",schedule_query
"weekly schedule",schedule_query
"my weekly classes",schedule_query
"full week schedule",schedule_query
"all classes this week",schedule_query
"week schedule view",schedule_query
"next week schedule",schedule_query
"classes next week",schedule_query
"schedule for next week",schedule_query
"what classes next week",schedule_query
"upcoming week schedule",schedule_query
"following week classes",schedule_query
"next weeks class schedule",schedule_query
"when are my classes",schedule_query
"class timings",schedule_query
"all class times",schedule_query
"full schedule",schedule_query
"complete schedule",schedule_query
"entire schedule",schedule_query
"view full schedule",schedule_query
"show all classes",schedule_query
"list all my classes",schedule_query
"what courses am i taking",schedule_query
"morning classes",schedule_query
"afternoon schedule",schedule_query
"evening classes",schedule_query
"night classes",schedule_query
"early morning schedule",schedule_query
"late afternoon classes",schedule_query
"classes after 5pm",schedule_query
"morning class times",schedule_query
"afternoon class schedule",schedule_query
"classes before noon",schedule_query
"do i have class now",schedule_query
"current class",schedule_query
"what class is happening now",schedule_query
"class right now",schedule_query
"am i in class",schedule_query
"what should i be in now",schedule_query
"where should i be right now",schedule_query
"what's my next class",schedule_query
"next class today",schedule_query
"upcoming class",schedule_query
"class after this",schedule_query
"following class",schedule_query
"next class time",schedule_query
"when is my next class",schedule_query
"what comes next in schedule",schedule_query
"next on my schedule",schedule_query
"whats after this class",schedule_query
"free time today",schedule_query
"when am i free",schedule_query
"gaps in schedule",schedule_query
"break times",schedule_query
"when do i have breaks",schedule_query
"free periods today",schedule_query
"open slots in schedule",schedule_query
"downtime today",schedule_query
"free hours",schedule_query
"when am i not in class",schedule_query
"class conflicts",schedule_query
"schedule conflicts",schedule_query
"overlapping classes",schedule_query
"time conflicts in schedule",schedule_query
"classes at same time",schedule_query
"conflicting class times",schedule_query
"double booked",schedule_query
"schedule overlap",schedule_query
"concurrent classes",schedule_query
"clash in schedule",schedule_query
"back to back classes",schedule_query
"consecutive classes",schedule_query
"classes in a row",schedule_query
"continuous classes",schedule_query
"no break between classes",schedule_query
"classes without gap",schedule_query
"sequential classes",schedule_query
"classes one after another",schedule_query
"multiple classes in succession",schedule_query
"non-stop classes",schedule_query
"first class today",schedule_query
"last class today",schedule_query
"earliest class",schedule_query
"latest class today",schedule_query
"first class of the day",schedule_query
"final class of the day",schedule_query
"opening class",schedule_query
"closing class",schedule_query
"beginning class today",schedule_query
"ending class today",schedule_query
"when does school start today",schedule_query
"when does school end today",schedule_query
"first period",schedule_query
"last period",schedule_query
"class start time today",schedule_query
"class end time today",schedule_query
"day start",schedule_query
"day end",schedule_query
"how many classes today",schedule_query
"number of classes today",schedule_query
"class count today",schedule_query
"total classes today",schedule_query
"how many classes this week",schedule_query
"number of classes weekly",schedule_query
"weekly class count",schedule_query
"classes per week",schedule_query
"total weekly classes",schedule_query
"how many hours of class today",schedule_query
"class hours today",schedule_query
"total class time today",schedule_query
"hours in class today",schedule_query
"time spent in class",schedule_query
"class duration today",schedule_query
"study hours today",schedule_query
"academic hours today",schedule_query
"instruction time today",schedule_query
"lecture hours today",schedule_query
"changes to schedule",schedule_query
"schedule updates",schedule_query
"has my schedule changed",schedule_query
"any schedule modifications",schedule_query
"schedule adjustments",schedule_query
"updated schedule",schedule_query
"new schedule",schedule_query
"revised schedule",schedule_query
"altered schedule",schedule_query
"modified class times",schedule_query
"room changes",schedule_query
"time changes to schedule",schedule_query
"different schedule",schedule_query
"amended schedule",schedule_query
"corrected schedule",schedule_query
"finalized schedule",schedule_query
"official schedule",schedule_query
"confirmed schedule",schedule_query
"verified schedule",schedule_query
"approved schedule",schedule_query
"permanent schedule",schedule_query
"fixed schedule",schedule_query
"set schedule",schedule_query
"semester schedule",schedule_query
"fall schedule",schedule_query
"spring schedule",schedule_query
"summer schedule",schedule_query
"winter schedule",schedule_query
"term schedule",schedule_query
"academic year schedule",schedule_query
"yearly schedule",schedule_query
"annual class schedule",schedule_query
"current semester classes",schedule_query
"this semester schedule",schedule_query
"classes this term",schedule_query
"current term schedule",schedule_query
"load this semester",schedule_query
"course load",schedule_query
"classes i'm taking",schedule_query
"enrolled courses",schedule_query
"registered classes",schedule_query
"signed up classes",schedule_query
"my courses",schedule_query
"courses on schedule",schedule_query
"subjects i have",schedule_query
"what am i studying",schedule_query
"class list",schedule_query
"course list",schedule_query
"subject schedule",schedule_query
"academic schedule",schedule_query
"study schedule",schedule_query
"timetable",schedule_query
"my timetable",schedule_query
"class timetable",schedule_query
"course timetable",schedule_query
"weekly timetable",schedule_query
"daily timetable",schedule_query
"timetable for today",schedule_query
"timetable this week",schedule_query
"schedule grid",schedule_query
"calendar of classes",schedule_query
"class calendar",schedule_query
"academic calendar classes",schedule_query
"course calendar",schedule_query
"when do classes start",schedule_query
"when does semester begin",schedule_query
"first day of classes",schedule_query
"semester start date",schedule_query
"when does term start",schedule_query
"academic year start",schedule_query
"beginning of semester",schedule_query
"classes begin when",schedule_query
"start of school",schedule_query
"first week of classes",schedule_query
"what assignments are due this week",assignment_query
"show me all assignments for cs 575",assignment_query
"assignments due today",assignment_query
"homework for cs575",assignment_query
"cs 575 assignments",assignment_query
"upcoming assignments",assignment_query
"what homework is due",assignment_query
"assignments due tomorrow",assignment_query
"cs575 homework",assignment_query
"list assignments",assignment_query
"show assignments",assignment_query
"what's due this week",assignment_query
"due dates for assignments",assignment_query
"assignment deadlines",assignment_query
"when is assignment due",assignment_query
"cs 575 homework due",assignment_query
"assignments for met cs 535",assignment_query
"all assignments cs 232",assignment_query
"what assignments do i have",assignment_query
"pending assignments",assignment_query
"incomplete assignments",assignment_query
"unfinished homework",assignment_query
"missing assignments",assignment_query
"overdue assignments",assignment_query
"late assignments",assignment_query
"past due assignments",assignment_query
"assignments i haven't done",assignment_query
"homework not submitted",assignment_query
"outstanding assignments",assignment_query
"assignments left to do",assignment_query
"remaining assignments",assignment_query
"homework remaining",assignment_query
"what assignments are left",assignment_query
"unsubmitted assignments",assignment_query
"assignments to complete",assignment_query
"homework to finish",assignment_query
"undone assignments",assignment_query
"assignments in progress",assignment_query
"current assignments",assignment_query
"active assignments",assignment_query
"open assignments",assignment_query
"available assignments",assignment_query
"posted assignments",assignment_query
"new assignments",assignment_query
"recently posted assignments",assignment_query
"latest assignments",assignment_query
"newest assignments",assignment_query
"fresh assignments",assignment_query
"just released assignments",assignment_query
"recently added homework",assignment_query
"this week assignments",assignment_query
"this weeks homework",assignment_query
"weekly assignments",assignment_query
"assignments this week",assignment_query
"homework this week",assignment_query
"whats due this week",assignment_query
"next week assignments",assignment_query
"upcoming week homework",assignment_query
"assignments due next week",assignment_query
"homework next week",assignment_query
"following week assignments",assignment_query
"assignments for next week",assignment_query
"today assignments",assignment_query
"todays homework",assignment_query
"due today",assignment_query
"what's due today",assignment_query
"assignments for today",assignment_query
"homework due today",assignment_query
"today's due dates",assignment_query
"submissions today",assignment_query
"deadline today",assignment_query
"tomorrow assignments",assignment_query
"tomorrows homework",assignment_query
"due tomorrow",assignment_query
"what's due tomorrow",assignment_query
"assignments for tomorrow",assignment_query
"homework due tomorrow",assignment_query
"tomorrow deadlines",assignment_query
"submissions tomorrow",assignment_query
"deadline tomorrow",assignment_query
"monday assignments",assignment_query
"tuesday homework",assignment_query
"wednesday assignments",assignment_query
"thursday homework",assignment_query
"friday assignments",assignment_query
"weekend homework",assignment_query
"assignments due monday",assignment_query
"homework due friday",assignment_query
"monday deadlines",assignment_query
"friday due dates",assignment_query
"cs 575 assignment 1",assignment_query
"assignment 2 cs575",assignment_query
"homework 3 details",assignment_query
"problem set 1 cs 575",assignment_query
"pset 2 cs575",assignment_query
"assignment details cs 575",assignment_query
"homework description cs575",assignment_query
"what is assignment 1 about",assignment_query
"assignment 1 requirements",assignment_query
"assignment instructions",assignment_query
"homework guidelines",assignment_query
"assignment rubric",assignment_query
"grading criteria assignment",assignment_query
"how is assignment graded",assignment_query
"assignment points",assignment_query
"assignment worth",assignment_query
"assignment weight",assignment_query
"how much is assignment worth",assignment_query
"points for homework",assignment_query
"assignment value",assignment_query
"percentage of grade assignment",assignment_query
"submission deadline assignment 1",assignment_query
"when to submit assignment",assignment_query
"submission time homework",assignment_query
"due date assignment 2",assignment_query
"due time homework 3",assignment_query
"deadline for submission",assignment_query
"last date to submit",assignment_query
"final submission date",assignment_query
"turn in date",assignment_query
"hand in deadline",assignment_query
"how to submit assignment",assignment_query
"where to submit homework",assignment_query
"submission method",assignment_query
"submit assignment online",assignment_query
"turn in homework",assignment_query
"hand in assignment",assignment_query
"upload homework where",assignment_query
"assignment submission portal",assignment_query
"where do i upload assignment",assignment_query
"submit via email or online",assignment_query
"assignment format",assignment_query
"homework format requirements",assignment_query
"file format for assignment",assignment_query
"pdf or word for homework",assignment_query
"assignment file type",assignment_query
"how to format assignment",assignment_query
"formatting guidelines homework",assignment_query
"submission format",assignment_query
"document format assignment",assignment_query
"file extension assignment",assignment_query
"late submission policy",assignment_query
"late homework penalty",assignment_query
"can i submit assignment late",assignment_query
"late assignment accepted",assignment_query
"penalty for late submission",assignment_query
"late submission rules",assignment_query
"what if i submit late",assignment_query
"grace period assignment",assignment_query
"extension on assignment",assignment_query
"can i get extension",assignment_query
"assignment extension request",assignment_query
"extend deadline homework",assignment_query
"more time for assignment",assignment_query
"deadline extension",assignment_query
"postpone assignment due date",assignment_query
"delay submission",assignment_query
"request extra time",assignment_query
"extend due date",assignment_query
"assignment help",assignment_query
"help with homework",assignment_query
"where to get assignment help",assignment_query
"homework assistance",assignment_query
"tutoring for assignment",assignment_query
"help with cs 575 homework",assignment_query
"office hours for assignment",assignment_query
"ask questions about homework",assignment_query
"clarification on assignment",assignment_query
"confused about homework",assignment_query
"don't understand assignment",assignment_query
"need help with assignment",assignment_query
"struggling with homework",assignment_query
"homework questions",assignment_query
"assignment questions",assignment_query
"group assignment",assignment_query
"team homework",assignment_query
"group work cs 575",assignment_query
"collaborative assignment",assignment_query
"partner homework",assignment_query
"work with others on assignment",assignment_query
"individual assignment",assignment_query
"solo homework",assignment_query
"alone assignment",assignment_query
"by myself homework",assignment_query
"completed assignments",assignment_query
"submitted assignments",assignment_query
"graded assignments",assignment_query
"assignment grades",assignment_query
"homework scores",assignment_query
"my assignment results",assignment_query
"feedback on assignment",assignment_query
"comments on homework",assignment_query
"assignment feedback",assignment_query
"how did i do on assignment",assignment_query
"assignment performance",assignment_query
"homework marks",assignment_query
"grades for homework",assignment_query
"assignment results",assignment_query
"score on assignment 1",assignment_query
"what did i get on homework",assignment_query
"returned assignments",assignment_query
"graded homework back",assignment_query
"assignment returned",assignment_query
"got assignment back",assignment_query
"homework feedback returned",assignment_query
"checked assignments",assignment_query
"reviewed homework",assignment_query
"corrected assignments",assignment_query
"marked homework",assignment_query
"assignment status",assignment_query
"homework status",assignment_query
"is assignment graded",assignment_query
"has homework been checked",assignment_query
"assignment checked yet",assignment_query
"homework reviewed yet",assignment_query
"when will assignment be graded",assignment_query
"grading timeline homework",assignment_query
"how long until graded",assignment_query
"when do i get feedback",assignment_query
"resubmit assignment",assignment_query
"redo homework",assignment_query
"can i resubmit",assignment_query
"resubmission allowed",assignment_query
"redo assignment",assignment_query
"revise homework",assignment_query
"correct and resubmit",assignment_query
"fix and turn in again",assignment_query
"improve assignment",assignment_query
"second submission",assignment_query
"optional assignments",assignment_query
"extra credit homework",assignment_query
"bonus assignment",assignment_query
"additional homework",assignment_query
"supplementary assignments",assignment_query
"extra assignments",assignment_query
"optional homework",assignment_query
"bonus points assignment",assignment_query
"extra credit opportunities",assignment_query
"additional credit homework",assignment_query
"practice assignments",assignment_query
"practice homework",assignment_query
"ungraded assignments",assignment_query
"homework for practice",assignment_query
"sample assignments",assignment_query
"practice problems",assignment_query
"review homework",assignment_query
"study assignments",assignment_query
"prep homework",assignment_query
"preparation assignments",assignment_query
"when is the midterm for cs 232",exam_query
"what exams do i have next week",exam_query
"exams this week",exam_query
"upcoming exams",exam_query
"test dates",exam_query
"quiz schedule",exam_query
"when is cs 575 exam",exam_query
"midterm cs575",exam_query
"final exam cs 575",exam_query
"cs 575 test date",exam_query
"exam schedule",exam_query
"all exams",exam_query
"list of exams",exam_query
"show exams",exam_query
"what exams coming up",exam_query
"exams next week",exam_query
"tests this week",exam_query
"quiz today",exam_query
"exam tomorrow",exam_query
"cs575 final",exam_query
"cs 232 midterm",exam_query
"first exam cs 575",exam_query
"exam 1 cs575",exam_query
"exam 2 date",exam_query
"test 3 when",exam_query
"quiz 1 cs 575",exam_query
"pop quiz today",exam_query
"surprise quiz",exam_query
"unannounced test",exam_query
"exams today",exam_query
"tests today",exam_query
"quiz today cs 575",exam_query
"do i have exam today",exam_query
"any exams today",exam_query
"is there exam today",exam_query
"test scheduled today",exam_query
"todays exams",exam_query
"today exam schedule",exam_query
"exams tomorrow",exam_query
"tests tomorrow",exam_query
"quiz tomorrow cs575",exam_query
"exam scheduled tomorrow",exam_query
"do i have exam tomorrow",exam_query
"any tests tomorrow",exam_query
"is there quiz tomorrow",exam_query
"tomorrows exams",exam_query
"tomorrow test schedule",exam_query
"monday exam",exam_query
"tuesday test",exam_query
"wednesday quiz",exam_query
"thursday exam",exam_query
"friday test",exam_query
"weekend exam",exam_query
"saturday test",exam_query
"sunday quiz",exam_query
"exam on monday",exam_query
"test on friday",exam_query
"final exam schedule",exam_query
"finals week",exam_query
"final exams",exam_query
"when are finals",exam_query
"finals schedule",exam_query
"final exam dates",exam_query
"finals period",exam_query
"end of semester exams",exam_query
"final test dates",exam_query
"when do finals start",exam_query
"midterm schedule",exam_query
"midterm exams",exam_query
"when are midterms",exam_query
"midterm week",exam_query
"midterm dates",exam_query
"mid semester exams",exam_query
"midterm test schedule",exam_query
"when do midterms start",exam_query
"midterm period",exam_query
"middle of semester tests",exam_query
"exam location",exam_query
"where is exam",exam_query
"exam room",exam_query
"test location cs 575",exam_query
"where is cs575 exam held",exam_query
"exam venue",exam_query
"test room number",exam_query
"where to go for exam",exam_query
"exam building",exam_query
"room for cs 575 final",exam_query
"exam time",exam_query
"what time is exam",exam_query
"exam start time",exam_query
"when does exam start",exam_query
"exam begins when",exam_query
"test time cs575",exam_query
"quiz time today",exam_query
"exam duration",exam_query
"how long is exam",exam_query
"test length",exam_query
"exam format",exam_query
"test format cs 575",exam_query
"multiple choice exam",exam_query
"essay test",exam_query
"open book exam",exam_query
"closed book test",exam_query
"exam type",exam_query
"what kind of exam",exam_query
"test style",exam_query
"exam structure",exam_query
"exam content",exam_query
"what's on the exam",exam_query
"test topics",exam_query
"exam coverage",exam_query
"what to study for exam",exam_query
"exam scope",exam_query
"material on test",exam_query
"chapters on exam",exam_query
"topics covered on test",exam_query
"exam syllabus",exam_query
